id,duration,frequency_range,direction
21,0.101587302,2465.551758,-80.46723102
21,0.081269841,2454.785156,159.1969138
21,0.085260771,2024.121094,182.1087879
21,0.137142857,2616.28418,-129.0888552
21,0.110657596,2519.384766,163.1990063
21,0.090702948,2530.151367,48.0914037
21,0.13968254,2530.151367,-334.3979478
21,0.104489796,2476.318359,-166.5662169
21,0.119365079,2390.185547,-66.09057467
21,0.090702948,2530.151367,-139.681056
21,0.114285714,2637.817383,-141.4049086
21,0.125170068,2530.151367,39.86080699
21,0.099773243,2691.650391,-102.2816079
21,0.12952381,2379.418945,-253.1424963
21,0.106666667,1981.054688,3.728020795
21,0.088163265,2917.749023,-261.2232956
21,0.092517007,2627.050781,64.37786824
21,0.086530612,2723.950195,-120.6974252
21,0.145124717,2444.018555,-195.1317707
21,0.099773243,2530.151367,-24.99924622
21,0.108843537,2551.68457,412.7226233
21,0.101587302,2347.119141,367.4171874
21,0.107029478,2368.652344,1.285457923
21,0.13968254,2723.950195,-454.022677
21,0.119365079,2293.286133,-342.168471
21,0.088888889,1959.521484,261.3193281
21,0.16,2637.817383,-344.0020828
21,0.099773243,2530.151367,-537.6176637
21,0.13968254,2400.952148,-411.4837405
21,0.093061224,2497.851563,314.595097
21,0.214058957,2379.418945,-197.2526245
21,0.152380952,2734.716797,-219.9744347
21,0.085170068,2336.352539,308.0356059
21,0.128798186,2282.519531,86.50307029
21,0.066938776,2465.551758,18.78537191
21,0.121904762,2551.68457,6.157235162
21,0.093968254,2454.785156,186.9185033
21,0.121904762,2530.151367,0.023479955
21,0.130612245,2616.28418,-145.7758994
21,0.10521542,1787.255859,136.1085116
21,0.084897959,2314.819336,164.7534469
21,0.124081633,2670.117188,30.62075972
21,0.091428571,2454.785156,-295.3925156
21,0.099773243,2411.71875,-298.8830796
21,0.106666667,2379.418945,-191.9410015
21,0.069659864,2260.986328,308.8986106
21,0.104489796,2422.485352,393.1163772
21,0.08707483,2131.787109,-142.7495776
21,0.106666667,2390.185547,21.5195395
21,0.088344671,2476.318359,109.5793336
21,0.091428571,2390.185547,-135.5202056
21,0.100136054,2002.587891,391.5861528
21,0.091428571,2454.785156,36.00708843
21,0.119727891,1948.754883,20.28811969
21,0.106666667,2056.420898,-0.202287524
21,0.089251701,2476.318359,169.0354826
21,0.109206349,2325.585938,182.9098698
21,0.088888889,2250.219727,-203.6664838
21,0.078367347,2067.1875,67.07549932
21,0.128435374,2540.917969,2.375903483
21,0.084897959,2454.785156,156.9155026
21,0.080544218,2196.386719,-27.3281755
21,0.102086168,2627.050781,-416.8588664
21,0.095782313,2530.151367,49.74684677
21,0.100136054,2670.117188,132.6185067
21,0.065306122,2325.585938,-145.9632697
21,0.076190476,2508.618164,107.4576241
21,0.12154195,2271.75293,228.1254102
21,0.104489796,2196.386719,130.8103523
21,0.091428571,2131.787109,187.8835224
21,0.14585034,2583.984375,-400.6057091
21,0.111020408,2390.185547,-21.35547361
21,0.084897959,2540.917969,448.931646
21,0.082721088,2282.519531,-120.4617351
21,0.082721088,2293.286133,48.99021015
21,0.084897959,2293.286133,-142.6388125
21,0.101587302,2637.817383,0.258394465
21,0.091428571,2465.551758,162.4491438
21,0.11537415,2627.050781,1.079862047
21,0.111020408,2659.350586,-37.02590461
21,0.137142857,2293.286133,0.952741344
21,0.106666667,2207.15332,-86.20720309
21,0.11537415,2465.551758,46.5519924
21,0.113197279,2336.352539,-40.70861118
21,0.113197279,2390.185547,-76.56077465
21,0.067482993,2540.917969,-196.4692527
21,0.145124717,2648.583984,-84.48294796
21,0.10122449,1690.356445,98.79615864
21,0.127346939,2379.418945,-399.0539441
21,0.123356009,2476.318359,-190.2015828
21,0.097959184,2207.15332,307.1634099
21,0.076190476,2314.819336,27.50801143
21,0.065306122,2368.652344,-331.0687905
21,0.089319728,2530.151367,125.5622167
21,0.084897959,2551.68457,-176.2784965
21,0.100975057,2670.117188,-21.50536381
21,0.095782313,1765.722656,31.66685892
21,0.116099773,2551.68457,-289.4799678
21,0.126984127,2637.817383,-549.9140802
21,0.083809524,2476.318359,-265.8631376
21,0.118049887,2530.151367,24.40729555
21,0.119727891,2411.71875,-129.7532687
21,0.125170068,2433.251953,-424.0804582
21,0.100136054,2497.851563,0.618368365
21,0.105283447,2508.618164,45.17140413
21,0.159637188,2659.350586,-192.9332516
21,0.132789116,2282.519531,-75.04141238
21,0.112471655,2637.817383,-448.5036838
21,0.05877551,2605.517578,-168.5908923
21,0.12122449,2874.682617,-425.4868146
21,0.111020408,2390.185547,362.848751
21,0.088163265,2390.185547,33.38748557
21,0.132426304,2465.551758,-258.5947903
21,0.085986395,2250.219727,315.995178
21,0.111678005,2637.817383,-144.7102831
21,0.119727891,1798.022461,-160.0892438
21,0.114285714,1798.022461,-42.42313955
21,0.134240363,2390.185547,-221.2051787
21,0.089251701,2217.919922,275.9643569
21,0.103401361,2282.519531,154.950305
21,0.141496599,2487.084961,-365.6642665
21,0.113197279,2077.954102,86.82624051
21,0.125170068,2519.384766,-339.1150742
21,0.079455782,1959.521484,124.2262381
21,0.08707483,2411.71875,265.3122713
21,0.089251701,1593.457031,65.90694417
21,0.08707483,2605.517578,204.1137559
21,0.088163265,2207.15332,-242.7678637
21,0.126984127,2508.618164,-54.35815143
21,0.113197279,1948.754883,276.6615632
21,0.13170068,3714.477539,-460.1562336
21,0.145124717,2304.052734,-42.11939344
21,0.064399093,2562.451172,4.459911841
21,0.177777778,2293.286133,-329.5387766
21,0.065124717,2390.185547,2.770433449
21,0.13968254,2400.952148,-304.0778543
21,0.083809524,2562.451172,1.396957775
21,0.170521542,2583.984375,-387.061623
21,0.140385488,2185.620117,97.95628397
21,0.143673469,2551.68457,-530.7585037
21,0.137188209,2411.71875,-195.4994099
21,0.126984127,2508.618164,197.4643868
21,0.170521542,2616.28418,-317.2763013
21,0.143310658,2594.750977,-588.2085832
21,0.073469388,2390.185547,294.2590131
21,0.151678005,2583.984375,-70.81228409
21,0.143673469,2670.117188,-145.6719884
21,0.111678005,2723.950195,-234.0362063
21,0.136417234,2594.750977,-242.6419274
21,0.111655329,2810.083008,-314.5577793
21,0.13968254,2831.616211,-39.20400106
21,0.127619048,2433.251953,75.13448064
21,0.14984127,2637.817383,-88.02788097
21,0.119365079,2282.519531,-142.6156226
21,0.121247166,2627.050781,-240.7206616
21,0.17414966,2530.151367,-300.8738042
21,0.172698413,2573.217773,-400.741094
21,0.167619048,2444.018555,-52.2903102
21,0.150204082,2260.986328,-219.4386696
21,0.172335601,2551.68457,-624.5853952
21,0.156689342,2422.485352,33.34503184
21,0.143673469,2433.251953,-312.1701318
21,0.111746032,2314.819336,-176.606716
21,0.172698413,2487.084961,-322.5517922
21,0.165079365,2799.316406,-333.0171603
21,0.123151927,2368.652344,116.9688407
21,0.14585034,2551.68457,-313.275685
21,0.093061224,2024.121094,-56.52335326
21,0.156780045,2540.917969,-62.9406921
21,0.111655329,2680.883789,39.14628279
21,0.130612245,2357.885742,-38.8664782
21,0.12122449,2379.418945,-458.8245104
21,0.061678005,2540.917969,-201.864426
21,0.146938776,2519.384766,-143.509651
21,0.104126984,2820.849609,-255.8867008
21,0.109024943,2099.487305,-22.35020303
21,0.144761905,2487.084961,-251.0862517
21,0.098752834,2271.75293,80.24821035
21,0.194104308,2239.453125,-380.2990782
21,0.224943311,1970.288086,-198.5324862
21,0.206802721,1754.956055,-371.7233617
21,0.179591837,2476.318359,-683.8185846
21,0.221315193,1754.956055,-79.34012048
21,0.253968254,2217.919922,-17.0343184
21,0.246712018,1798.022461,-118.216904
21,0.234013605,1345.825195,-341.2846427
21,0.230385488,1055.126953,-144.0690905
21,0.206802721,2067.1875,61.18716149
21,0.248526077,1970.288086,35.62803165
21,0.221315193,2260.986328,85.84456271
21,0.201360544,1561.157227,-203.1763916
21,0.221315193,624.4628906,-156.9246035
21,0.145124717,2594.750977,84.97047748
21,0.195918367,2444.018555,-407.5542928
21,0.188662132,2788.549805,-34.67320792
21,0.214058957,1453.491211,-134.9825917
21,0.246712018,1701.123047,-88.17631623
21,0.219501134,1356.591797,-201.0377801
21,0.204988662,1410.424805,-127.1406129
21,0.235827664,1701.123047,-63.28600807
