Category,PCA_0,PCA_1,PCA_2,PCA_3
Contact,-11.08804893,-6.327706773,9.615261428,5.601962454
Contact,-8.630643359,-5.687061889,12.02169427,4.404813536
Contact,-9.336557093,-3.474536709,8.065005282,5.436603068
Contact,-10.21873324,-3.236774685,9.552835063,4.285602103
Contact,-14.64532461,-5.55786903,3.961922808,8.531572552
Contact,-16.70646271,-5.678830692,4.198118926,9.873976194
Contact,-9.079536487,-0.952176813,8.454083241,4.246024495
Contact,-14.6999372,-4.280657417,3.933377564,7.228201032
Contact,-15.10782055,-3.522229186,2.659512035,8.276387681
Contact,-14.49095167,-5.012931198,4.220423812,6.284349374
Contact,-9.744566505,-4.972878682,8.427110926,-1.172407296
Contact,-13.54259861,-4.146831069,4.770194978,7.81970699
Contact,-13.72563913,-3.035478378,4.575639137,-0.553725506
Contact,-5.117749644,-3.509454718,14.19321411,1.296199266
Contact,-6.017674465,-4.20417503,11.26471211,1.815848722
Contact,-10.68065443,-1.301206443,9.09391325,-2.273884676
Contact,-12.23123926,-1.191396507,5.257048383,0.713113469
Contact,-5.410742175,-1.843560168,13.2450422,-1.557539595
Contact,-3.172978782,-1.778412106,14.83869144,0.576469746
Contact,-6.486363729,-2.241930832,13.13708337,0.169728538
Contact,-5.856455646,-3.077046623,13.90600636,-1.040841557
Contact,-9.240990787,-2.479239322,9.177709777,1.018826974
Contact,-10.39347705,-4.856894921,8.889043226,1.973661792
Contact,-6.539907131,-4.382369457,14.18706476,2.245104679
Contact,-5.660451747,-3.803038803,14.42789352,2.018443016
Contact,-20.38715534,-2.620649938,-2.392110661,-0.598302417
Contact,-23.10168338,-1.817593043,-8.209198938,-0.208672199
Contact,-20.84242959,-5.49470508,-1.567779722,2.265820468
Contact,-20.69731171,-4.812501842,-0.610191415,6.829363912
Contact,-21.14206685,-4.597256814,-1.940034799,2.306596218
Contact,-16.70488077,-0.931130154,1.245934974,-0.526563913
Contact,-15.73194795,-1.279066149,4.30704775,1.511153359
Contact,-15.58863989,-1.338145149,3.556145297,1.631211238
Contact,-13.40170995,-0.811258351,7.313982987,1.649714541
Contact,-13.91599336,-1.402422283,7.190664491,2.770644172
Contact,-15.90804229,-2.964493789,5.787591935,6.226966637
Contact,-10.2934501,-2.098799673,9.57473197,2.98883018
Contact,-15.68091443,-0.474310575,4.050275003,2.44973819
Contact,-15.8319386,1.613190342,2.552062388,0.927555404
Contact,-22.66239911,-1.379131668,-4.734043101,5.051842481
Contact,-21.48683368,-2.715005823,-4.469980829,6.598576555
Contact,-19.71119009,-0.749462022,-2.489167855,4.74251804
Contact,-21.26901778,-1.267295032,-3.38146333,6.993170978
Contact,-20.78612155,-1.3520331,-1.951811401,5.68393949
Contact,-20.90906068,-2.239380526,-3.402230446,7.780224643
Contact,-21.41836981,-3.18607627,-2.349811954,3.87965398
Contact,-17.19801731,-2.726237662,2.013531168,3.237824628
Contact,-18.94884496,-4.8010171,1.713939172,10.06954721
Contact,-20.14639199,-5.61263818,1.694668076,2.565301338
Contact,-21.70066961,-4.588697607,-2.470140536,3.501711577
Contact,-21.84171896,-3.331342256,-3.877820946,9.038462522
Contact,-19.52655289,-1.080174191,-1.201700967,6.060779102
Contact,-11.20187836,-7.259533596,1.495797639,-4.591929957
Contact,-4.38646618,-6.695104347,6.847369662,-7.492937215
Contact,-6.329931292,-9.288563648,4.263554024,-6.589473586
Contact,-8.279841936,-6.835819655,5.570730226,-4.997700667
Contact,-8.11838586,-5.981968695,2.891816489,-3.790222415
Contact,-8.468178513,-8.69859338,3.199787125,-3.601956405
Contact,-5.234423466,-7.594958459,5.676167156,-6.123596356
Contact,-9.618962276,-6.821984054,1.770523647,-1.318452577
Contact,-6.287802699,-5.449045298,5.365172997,-6.497914476
Contact,-5.255685791,-6.908819863,4.013572465,-6.604783623
Contact,-1.85361604,-7.025766105,2.891942146,-5.637189292
Contact,-4.530036755,-6.063889188,3.352944728,-7.845215622
Contact,-5.770019353,-7.738583779,-4.483281192,-2.8862551
Contact,-5.57610807,-8.428593724,1.165641364,-2.76560305
Contact,-10.41389085,-9.726284394,0.51861107,-3.247667879
Contact,-7.849477382,-10.0381588,2.281631483,-4.188798825
Contact,-8.890075083,-9.161112077,-0.746819911,-4.51500505
Contact,-8.395150623,-8.835690696,1.001065433,-6.251248384
Contact,-7.104876578,-9.360938859,4.544287446,-6.412967978
Contact,-6.612407068,-10.66288228,3.7275227,-6.352187798
Contact,-6.275821186,-8.657666865,4.808809682,-5.492320437
Contact,-8.598300449,-9.74324103,5.524728205,-5.345492899
Contact,-9.280467556,-10.2236788,2.204680916,-6.158111113
Contact,-6.610937363,-8.902088917,4.482520524,-6.108818037
Contact,-8.271794591,-6.577298612,-1.657716933,-4.413337227
Contact,-8.717482433,-6.849774841,-2.566756232,-6.232652396
Contact,-6.518346793,-7.172862224,1.88734521,-7.172998576
Contact,-5.276249397,-8.74383747,2.948162359,-8.219965736
Contact,-6.076450407,-10.82037773,2.104644931,-9.68434867
Contact,-4.287069434,-8.153359133,0.881257983,-8.403424151
Contact,-3.747627842,-8.260320929,8.189307317,-8.157094949
Contact,-5.078457533,-7.266197798,0.016682845,-8.2081107
Contact,-4.546383179,-6.299473673,-2.052017931,-5.922370233
Contact,-4.991430156,-6.284399189,-2.098601926,-7.023600664
Contact,-4.795203142,-6.120095993,-3.779601626,-4.043621499
Contact,-4.354298641,-5.914349863,-3.003195833,-6.666860923
Contact,-4.771245274,-4.928152607,-1.771892295,-8.245493208
Contact,-5.101246071,-6.001961977,-1.58969283,-5.743531352
Contact,-3.186262802,-4.575778182,-4.207622965,-6.640398186
Contact,-2.664953983,-7.999028129,-3.096641291,-5.804931554
Contact,-2.604779048,-8.697749678,0.711823656,-6.760005545
Contact,-5.097084438,-6.36097647,-2.564672218,-7.74851311
Contact,-4.216127753,-9.507030251,4.76620601,-7.590943254
Contact,-2.541713351,-5.553259851,2.229853433,-5.754845073
Contact,-3.206772941,-6.598015021,4.589569196,-7.639980542
Contact,-3.018034543,-5.817600645,2.205249494,-10.3708065
Contact,-4.349132728,-6.555593662,1.829943975,-7.126239978
Contact,-0.787005261,-3.887637674,6.261356151,-7.366180904
Contact,-3.649365009,-5.076416846,1.412115196,-7.748830708
Contact,-6.237688401,-7.173568021,0.970161407,-6.47213593
Contact,0.406940419,-7.596288638,-1.455381078,-7.043725908
Contact,7.72818556,-5.726932236,-3.235240623,-4.422881013
Contact,3.824285549,-6.967271346,-0.259951823,-5.220436389
Contact,-0.249392792,-4.331494799,-1.921752566,-8.785830661
Contact,3.13006376,-6.264098396,-3.607575279,-5.598128782
Contact,2.311544698,-5.904824834,0.099473873,-5.051402815
Contact,-2.023341209,-6.422786697,0.016574614,-6.858108663
Contact,-11.02897858,-9.976026078,0.50111203,-3.230957148
Contact,-12.77394827,-7.917218019,1.592875631,-4.279313135
Contact,-11.56549161,-7.814681741,3.812073858,-3.09475669
Contact,-9.309450262,-7.473744336,2.46016733,-2.128438586
Contact,-8.876050971,-5.944427174,3.84423938,-4.973519669
Contact,-9.239923966,-9.175790507,5.119838457,-3.943623752
Contact,-9.388880509,-9.639455293,3.137134109,-2.464425213
Contact,-9.912972809,-11.36526205,5.528510811,-2.287979853
Contact,-9.145242449,-7.790460729,-3.921256484,-2.653406557
Contact,-6.146045928,-10.10371239,7.68720273,-4.420034567
Contact,-9.399498016,-5.968829173,0.329060805,-3.453896129
Contact,2.123918897,-8.459158981,0.649645798,-6.777398409
Contact,5.239639066,-7.891175081,-4.577915108,-5.855865669
Contact,0.659803709,-5.690708246,-0.379493033,-7.275196534
Contact,-1.113856641,-6.366435171,0.979020228,-7.167673322
Contact,-1.182308401,-7.402302354,1.341737384,-7.994108118
Contact,-2.793998389,-8.92145215,-4.790731261,-7.645304049
Contact,-4.513095115,-7.2559073,-2.881485188,-4.654245976
Contact,-2.626418152,-6.034113456,-2.917782361,-6.248652817
Contact,-1.704445656,-9.377450007,-0.686420039,-4.907453389
Contact,0.166934463,-6.755561083,3.158887487,-4.794140429
Contact,-3.68726909,-8.284296606,-0.012138958,-5.707640659
Contact,-2.637832868,-6.877394232,3.275212793,-6.480464667
Contact,-4.606570448,-8.057859805,-1.241261209,-6.060143432
Contact,-5.065237635,-7.964367626,-0.637964,-6.374791099
Contact,-8.707732633,-10.87943139,2.099299581,-8.331693834
Contact,-5.588183711,-12.18479069,10.37869117,-7.73075696
Contact,-7.381715813,-8.061778036,8.322681206,-8.017273771
Contact,-8.863976017,-4.101825888,3.533326748,-9.96931692
Contact,-10.70828656,-5.827689516,-0.777222465,-6.019133212
Contact,-7.297213017,-12.01675826,4.42179064,-5.948880266
Contact,-8.636202892,-13.15580994,4.856698678,-2.893631487
Contact,-2.638535366,-5.986823197,4.804681099,-8.472715915
Contact,-8.195017931,-9.432943864,-1.203323882,-4.817900754
Contact,-3.579111252,-10.17182925,5.768989259,-4.89421889
Contact,-6.591173063,-4.587425246,3.476205335,-6.328642466
Contact,-6.730805177,-6.914554936,2.902337866,-5.213848072
Contact,-2.595085029,-2.722080822,-0.611656723,-5.107012935
Contact,-7.988551579,-5.62318968,-0.078254159,-7.822645956
Contact,-6.274888714,-9.875019561,5.695834636,-7.042960493
Contact,-7.636691319,-9.449498302,7.170912097,-7.465466037
Contact,-7.708591519,-10.70536538,7.873171708,-5.58800913
Contact,-7.001306507,-10.10990191,5.81353695,-3.598243314
