duration_scaled,frequency_change_scaled,direction_scaled
0.127,2809.82,750.227
0.149,2363.4,512.861
0.119,2586.61,966.592
0.114,2376.53,653.314
0.133,2822.95,713.187
0.13,2586.61,538.776
0.138,2927.99,275.994
0.114,472.68,711.516
0.141,1496.82,641.189
0.122,2324.01,749.872
0.119,1037.27,923.881
0.109,1063.53,630.612
0.127,1523.08,974.087
0.074,1720.03,427.829
0.114,945.36,753.876
0.13,1825.07,764.807
0.096,1536.21,428.864
0.098,2914.86,640.43
0.117,1601.86,1038.831
0.117,1313,1047.172
0.117,1326.13,764.793
0.119,1496.82,779.396
0.114,2639.13,821.52
0.135,2048.28,566.919
0.109,577.72,678.415
0.111,2652.26,402.286
0.117,2639.13,890.566
0.117,853.45,1012.062
0.122,2717.91,413.968
0.117,1706.9,970.295
0.133,2836.08,748.925
0.098,1654.38,721.284
0.119,748.41,945.825
0.13,1313,1008.216
0.093,1746.29,894.644
0.114,1444.3,837.062
0.109,2087.67,720.845
0.133,590.85,799.176
0.133,2389.66,819.721
0.109,2770.43,745.815
0.117,1733.16,276.633
0.13,2586.61,392.496
0.127,2166.45,761.344
0.122,1772.55,606.613
0.125,2468.44,617.668
0.111,709.02,639.551
0.109,1720.03,535.19
0.13,1273.61,753.34
0.122,1916.98,231.533
0.133,2166.45,712.588
0.127,1667.51,993.647
0.119,1720.03,878.951
0.127,2691.65,802.094
0.119,2179.58,887.128
0.125,1037.27,593.121
0.146,2862.34,352.665
0.13,2074.54,891.73
0.106,800.93,543.175
0.111,1260.48,722.554
0.111,1654.38,806.785
0.13,1523.08,588.655
0.13,2245.23,584.519
0.125,1851.33,836.862
0.141,1444.3,774.446
0.122,2639.13,686.669
0.08,1614.99,134.26
0.127,393.9,271.615
0.119,2258.36,209.966
0.104,2140.19,555.695
0.111,2008.89,931.682
0.104,1654.38,390.525
0.133,1076.66,804.55
0.133,2415.92,950.872
0.122,2901.73,584.646
0.122,2415.92,569.702
0.13,1024.14,474.643
0.13,1234.22,845.271
0.125,2087.67,770.425
0.114,1483.69,750.808
0.127,1378.65,438.893
0.117,1588.73,23.398
0.133,1995.76,981.036
0.117,1339.26,1074.407
0.09,2927.99,458.242
0.122,1628.12,412.962
0.143,1654.38,325.13
0.114,1693.77,478.418
0.122,1575.6,382.697
0.143,1142.31,593.031
0.141,2901.73,606.454
0.114,2166.45,719.155
0.143,722.15,237.515
0.119,1470.56,1010.496
0.127,2494.7,442.937
0.127,1523.08,-391.49
0.127,2205.84,678.011
0.122,1313,942.028
0.114,1326.13,-65.585
0.127,958.49,725.158
0.127,1352.39,329.192
0.117,1496.82,28.152
0.135,1575.6,656.18
0.138,1339.26,-190.038
0.122,1431.17,326.377
0.101,1536.21,-225.124
0.119,1444.3,148.246
0.13,1523.08,273.27
0.122,1562.47,773.098
0.127,1181.7,877.918
0.135,1116.05,903.566
0.119,1838.2,782.191
0.119,1063.53,1059.267
0.143,2757.3,761.306
0.125,2717.91,986.593
0.109,1326.13,596.37
0.122,2534.09,900.148
0.125,1326.13,831.852
0.125,1089.79,955.489
0.114,1037.27,915.048
0.143,3059.29,833.666
0.117,1181.7,853.337
0.127,2271.49,695.307
0.125,669.63,717.714
0.146,1811.94,978.468
0.056,1155.44,99.406
0.122,1877.59,862.277
0.138,2639.13,809.932
0.125,1102.92,699.539
0.117,1956.37,854.533
0.138,853.45,882.443
0.13,735.28,1075.261
0.125,1943.24,893.454
0.133,2770.43,902.268
0.109,1286.74,633.034
0.117,1759.42,818.288
0.127,1575.6,1005.416
0.119,2337.14,916.812
0.162,1313,1070.193
0.141,2061.41,965.352
0.146,1457.43,1042.151
0.127,748.41,842.2
0.122,2520.96,764.578
0.146,892.84,811.526
0.138,2310.88,946.097
0.135,2022.02,982.293
0.13,1404.91,715.428
0.146,2022.02,834.915
0.154,1194.83,157.945
0.141,2074.54,893.79
0.13,2836.08,672.247
0.149,722.15,1137.293
0.141,2218.97,732.134
