N,category,duration,minimum,maximum,frequency_range,direction,centroid,mel,tonnetz,zerocross
6848,3,0.1664903,2460.253907,7158.935547,4698.681641,124.6619976,4527.988932,-836.7001651,-0.002132801,0.203946553
6849,3,0.323466869,2883.740234,7320.263672,4436.523438,-107.4892229,5078.984468,-813.8019841,0.004793598,0.268880209
6850,3,0.337737465,3085.400391,6977.441407,3892.041016,-85.90339303,5557.40222,-853.0333692,-0.178585648,0.284427704
6851,3,0.387344779,3791.210938,7864.746093,4073.535157,-326.2981795,5491.107393,-707.752893,-0.197400876,0.254247273
6852,3,0.520876795,2782.910157,7683.251953,4900.341797,28.22465222,5517.677428,-721.6568143,0.060418457,0.293573288
6853,3,0.271141346,2903.90625,7400.927734,4497.021484,-104.6705198,4955.776497,-835.4191533,-0.141993257,0.214921255
6854,3,0.651690602,3024.902343,7158.935547,4134.033203,-596.1900075,5717.824765,-922.1401067,0.198574457,0.29906064
6855,3,0.237843285,2883.740234,7844.580078,4960.839843,148.0528913,5156.402268,-815.4655968,-0.036251173,0.204861111
6856,3,0.275898211,3085.400391,7300.097657,4214.697266,71.47985157,5218.222902,-814.4162022,-0.328462376,0.246016245
6857,3,0.316671346,3387.890626,8530.224609,5142.333984,-386.2252956,5631.794161,-972.0220781,0.201215722,0.253332713
6858,3,0.319389555,4658.349609,7521.923828,2863.574219,-1794.100081,6819.442181,-849.9652381,0.040084083,0.319180927
6859,3,0.178382464,3004.736328,7723.583984,4718.847657,-346.4584451,5253.220281,-795.6426644,-0.006563143,0.24235801
6860,3,0.463794407,3145.898438,7622.753907,4476.855469,103.9351951,5582.441682,-875.735127,-0.244404511,0.283513146
6861,3,0.19978836,2500.585938,8046.240234,5545.654297,12.22179178,4918.792594,-756.1295029,-0.152264119,0.196630085
6862,3,0.380549256,2883.740234,7723.583984,4839.84375,-77.46604898,5123.423894,-776.2102933,0.052318503,0.229554192
6863,3,0.696880826,2984.570312,7300.097657,4315.527343,-569.5743504,5604.004402,-922.8831883,0.025401712,0.293573288
6864,3,0.387344779,3004.736328,6916.943359,3912.207031,-35.35628004,5597.890073,-739.091127,-0.254969894,0.277111236
6865,3,0.271820899,3529.052734,8066.40625,4537.353516,-1005.898692,5760.262347,-927.7728648,0.242185337,0.267051091
6866,3,0.501849332,2883.740234,8308.398438,5424.658203,-313.0977209,5592.271334,-759.0630952,0.108312751,0.283513146
6867,3,0.658825901,3024.902343,7360.595703,4335.693359,-646.4249276,5730.696355,-812.6734921,0.041387884,0.296316964
6868,3,0.339776123,5021.337891,6937.109376,1915.771484,136.7187606,6152.330177,-712.6678552,-0.079834726,0.284427704
6869,3,0.561310154,3206.396484,7461.425781,4255.029297,-606.4154351,6299.030135,-849.0878613,0.258514346,0.326497395
6870,3,0.399576719,2984.570312,7421.09375,4436.523438,-346.6097374,5395.402923,-870.7633,0.134361322,0.27436756
6871,3,0.547039556,3004.736328,7199.267578,4194.53125,-864.5474835,5939.041529,-871.7973733,-0.079872286,0.312779019
6872,3,0.651690602,2823.242188,7017.773438,4194.53125,468.3692953,5065.043431,-810.1509143,0.044490512,0.264307415
6873,3,0.46617284,2984.570312,7098.4375,4113.867188,-266.5577898,5452.419611,-938.8209238,0.008608145,0.276196678
6874,3,0.454280676,3004.736328,6957.275391,3952.539062,-130.8906691,5289.017425,-835.9491419,-0.167310119,0.265221975
6875,3,0.382927689,3307.226562,7300.097657,3992.871093,-454.4719414,5899.54482,-700.0820876,-0.276982837,0.28076947
6876,3,0.3329806,3589.550781,8328.564453,4739.013672,-343.7279361,5699.408408,-739.3835048,0.166881916,0.257905507
6877,3,0.142705971,2984.570312,7763.916016,4779.345703,-11.38739308,5131.786818,-1020.19644,0.303739423,0.209433903
6878,3,0.073731418,3024.902343,8449.560547,5424.658203,-188.7501892,5470.493497,-909.7687619,-0.067778883,0.179253472
6879,3,0.304439406,3125.732422,6614.453126,3488.720703,-619.7632646,5225.764018,-692.2112816,0.286945603,0.252418155
6880,3,0.278616419,3710.546876,6715.283203,3004.736328,66.54438168,5448.417613,-578.5297819,-0.008708462,0.268880209
6881,3,0.13319224,3065.234376,7723.583984,4658.349609,239.7991125,5191.550459,-1026.006179,-0.060686527,0.21857949
6882,3,0.599365079,3004.736328,7098.4375,4093.701172,265.7767844,5265.35617,-945.2984495,-0.126786061,0.28717138
6883,3,0.149501494,2964.404297,8126.904297,5162.5,290.2769241,5106.292324,-879.1771121,-0.132581994,0.214921255
6884,3,0.271141346,3045.068359,7340.429688,4295.361328,-443.6836014,5298.276033,-903.1489057,0.160007251,0.256990947
6885,3,0.339776123,3266.894531,7965.576172,4698.681641,-356.044718,5347.032088,-1015.804611,0.156585095,0.251503597
6886,3,0.397198287,3085.400391,8207.568359,5122.167969,-887.2269563,6139.376008,-687.3468159,-0.208636139,0.28717138
6887,3,0.59222978,3166.064453,7501.757812,4335.693359,-329.3628562,5769.951906,-936.1881752,0.249927484,0.300889756
6888,3,0.387684555,3307.226562,7743.75,4436.523438,-511.4421009,6065.709698,-680.4512705,-0.097425477,0.290829614
6889,3,0.589851348,2903.90625,7824.414062,4920.507812,469.1994354,5260.598852,-829.6872752,0.056611605,0.267051091
6890,3,0.447145377,3004.736328,7179.101562,4174.365234,-296.6492143,5527.974846,-942.9598019,0.117227889,0.278940352
6891,3,0.44952381,2903.90625,7380.761719,4476.855469,-312.5120563,5210.678705,-835.263281,-0.026625346,0.259734623
