category,duration,direction,frequency,energy
Contact,0.3047619,-219.9902208,3932,7
Contact,0.2568707,-169.0628394,3939,7
Contact,0.2655783,-127.0099843,4059,8
Pleasure,0.13714286,298.9242353,43,10
Pleasure,0.1320635,209.3081037,3601,10
Pleasure,0.11428571,306.7200645,7,6
Pleasure,0.10920635,274.6938599,3558,11
Pleasure,0.11936508,304.7234478,7,7
Pleasure,0.09142857,296.0577646,0,11
Pleasure,0.0863492,346.561231,0,10
Pleasure,0.08634921,322.597402,50,10
Pleasure,0.0812698,315.3562011,14,12
Pleasure,0.1015873,360.1357696,0,8
Pleasure,0.1092064,329.0847516,7,10
Pleasure,0.1066666,318.8238282,7,11
Pleasure,0.1015873,369.4633018,0,10
Pleasure,0.111746,341.9478679,7,10
Pleasure,0.104127,352.2085593,0,9
Pleasure,0.1244444,269.9647758,7,9
Pleasure,0.1219048,414.2104043,0,7
Pleasure,0.0914286,155.2982723,86,8
Pleasure,0.0838095,338.7784157,57,11
Pleasure,0.11428572,219.8987978,7,11
Pleasure,0.12081633,207.7815998,2715,8
Pleasure,0.11755102,238.5967928,7,7
Pleasure,0.11428572,297.3355405,43,8
Contact,0.2463492,-342.3966965,3889,7
Contact,0.2463492,-261.9396646,4066,6
Contact,0.264127,-227.4695302,4293,7
Contact,0.2590476,-221.2418216,4066,8
Contact,0.2793651,-198.9324592,4442,8
Contact,0.2869841,-288.4888069,4300,8
Contact,0.2615873,-266.5273725,4300,8
Contact,0.3123809,-139.2943149,4492,8
Contact,0.3301587,-227.822019,1039,7
Contact,0.3149206,-310.6895466,3770,6
Contact,0.3098413,-284.2076192,4300,6
Contact,0.2793651,-212.8284492,4307,7
Contact,0.2438095,-246.3676084,4492,6
Contact,0.2971428,-150.4270457,4492,7
Contact,0.2463492,-184.0283826,4293,6
Contact,0.2971429,-194.9736286,4686,7
Contact,0.3453968,-114.437985,4485,8
Contact,0.3250793,-179.9271228,4300,7
Contact,0.3352381,-153.2952121,4307,8
Contact,0.2666667,-221.1163853,4293,7
Contact,0.3580953,-108.2469142,4492,7
Contact,0.2844445,-130.1315437,4116,8
Contact,0.3301588,-104.7499494,4485,8
Contact,0.3225397,-65.68595485,4109,7
Contact,0.3149207,-118.8894786,4492,8
Contact,0.3504762,-103.7337758,4693,7
Contact,0.3149206,-119.498723,1240,8
Contact,0.3250793,-80.74509383,1450,8
Contact,0.3657143,-180.0920468,4693,7
Contact,0.3530158,-100.9326251,4693,7
Contact,0.3403175,-96.06149419,4686,6
Contact,0.3250794,-188.318683,4492,6
Contact,0.327619,-162.5110575,4693,8
Contact,0.2971428,-150.8999777,4485,9
Contact,0.3606349,-40.24339036,4686,7
Contact,0.3225397,-179.2993239,4686,7
Contact,0.3047619,-181.9351847,4693,7
Contact,0.3504762,-126.4761721,4700,6
Contact,0.3377778,-216.1815722,4643,7
Contact,0.3326985,-229.602558,4693,7
Contact,0.3631746,-231.8588269,4499,7
Contact,0.3022222,-202.5946947,4693,7
Contact,0.3453968,-176.3455313,4686,8
Contact,0.3479365,-53.84918613,4693,7
Contact,0.3326984,-116.146746,4686,7
Contact,0.3453968,-178.0638181,4643,7
Contact,0.3631746,-187.0479089,4700,9
Contact,0.3453968,-149.3890403,4686,8
Contact,0.3276191,-198.5976283,4700,7
Contact,0.3326984,-110.6194125,4686,7
Contact,0.3250794,-134.7315673,4693,9
Contact,0.3326984,-129.6148737,4643,7
Contact,0.3682539,-158.0843873,4643,7
Contact,0.4012698,-149.6115874,4643,7
Contact,0.2946031,-247.4938084,4300,8
Contact,0.3047619,-64.55272319,4485,6
Contact,0.3047619,-71.57276534,4293,7
Contact,0.3504762,-77.36725485,4686,7
Contact,0.3301587,-131.7713679,4686,7
Contact,0.2488889,-247.0505481,811,6
Contact,0.2895238,-138.163298,4686,7
Contact,0.2971429,-80.27259155,4693,7
Contact,0.3530159,-53.35331217,4903,6
Contact,0.3758731,-171.8859337,4903,7
Contact,0.383492,-106.9479139,4903,7
Contact,0.3453968,-216.5682716,4896,6
Contact,0.375873,-163.0402343,4686,5
Contact,0.3733333,-148.1379027,4686,5
Contact,0.383492,-91.91891584,4903,5
Contact,0.3911111,-117.652363,4903,5
Contact,0.3631746,-114.1924398,5130,6
