id,duration,minimum,maximum,frequency_change,direction,pca,category,sex,mean_duration,mean_frequency,mean_change,mean_pca,,
348,0.093764172,2034.887695,3499.145508,1464.257813,421.3592215,-1.17338,N,F,,,,,,
348,0.093764172,1044.360352,4198.974609,3154.614258,97.3174258,-0.27533,N,F,,,,,,
348,0.09845805,1022.827148,4489.672852,3466.845703,723.2999836,-1.15088,N,F,,,,,,
348,0.093764172,1722.65625,4360.473633,2637.817383,468.520186,-0.97709,N,F,,,,,,
348,0.11015873,1098.193359,3746.777344,2648.583984,-137.6464676,0.09989,N,F,,,,,,
348,0.07968254,1141.259766,3294.580078,2153.320313,-60.01723863,-0.36457,N,F,,,,,,
348,0.105464853,968.9941406,3240.74707,2271.75293,776.9289901,-1.45782,N,F,,,,,,
348,0.089909297,1076.660156,3660.644531,2583.984375,300.3573974,-0.75441,N,F,,,,,,
348,0.058594104,990.5273438,3466.845703,2476.318359,72.2611464,-0.65595,N,F,,,,,,
348,0.082018141,1281.225586,3779.077148,2497.851563,-255.6580457,0.03942,N,F,,,,,,
348,0.107823129,904.3945313,3692.944336,2788.549805,181.9568554,-0.3871,N,F,,,,,,
348,0.065623583,1582.69043,3552.978516,1970.288086,448.1289665,-1.30985,N,F,,,,,,
348,0.089047619,1001.293945,4209.741211,3208.447266,672.9608743,-1.20194,N,F,,,,,,
348,0.112494331,1022.827148,3262.280273,2239.453125,607.3530824,-1.14634,N,F,,,,,,
348,0.096099773,1485.791016,3477.612305,1991.821289,603.8075565,-1.32075,N,F,,,,,,
348,0.077346939,1087.426758,3326.879883,2239.453125,-126.313117,-0.25818,N,F,,,,,,
348,0.070294785,1313.525391,3402.246094,2088.720703,-165.6809279,-0.28397,N,F,,,,,,
348,0.053922902,2002.587891,3111.547852,1108.959961,-135.5728792,-0.67968,N,F,,,,,,
348,0.089047619,1324.291992,3133.081055,1808.789063,275.6112331,-0.90058,N,F,,,,,,
348,0.089070295,1259.692383,4435.839844,3176.147461,-294.2829995,0.30917,N,F,,,,,,
348,0.091405896,1291.992188,4392.773438,3100.78125,576.9668018,-1.05837,N,F,,,,,,
348,0.077346939,1313.525391,4737.304688,3423.779297,713.2711042,-1.30336,N,F,,,,,,
348,0.067981859,1722.65625,3423.779297,1701.123047,-103.9025035,-0.48758,N,F,,,,,,
348,0.145306122,1227.392578,3337.646484,2110.253906,175.5196387,-0.25218,N,F,,,,,,
348,0.074988662,1248.925781,4349.707031,3100.78125,475.4227606,-1.02207,N,F,,,,,,
348,0.128911565,1065.893555,3219.213867,2153.320313,582.1446173,-1.00351,N,F,,,,,,
348,0.086712018,1248.925781,4414.306641,3165.380859,519.7151624,-0.98881,N,F,,,,,,
348,0.075011338,818.2617188,3671.411133,2853.149414,1034.640053,-1.9568,N,F,,,,,,
348,0.072653061,1012.060547,3380.712891,2368.652344,236.5549814,-0.83324,N,F,,,,,,
348,0.091405896,1195.092773,4726.538086,3531.445313,597.1705754,-0.99088,N,F,,,,,,
348,0.063287982,1162.792969,3165.380859,2002.587891,60.05296235,-0.71071,N,F,,,,,,
348,0.073514739,1205.859375,4651.171875,3445.3125,700.3306907,-1.30682,N,F,,,,,,
348,0.080181406,1507.324219,3240.74707,1733.422852,-26.51026644,-0.51015,N,F,,,,,,
348,0.07031746,1270.458984,3154.614258,1884.155273,-193.0423955,-0.28797,N,F,,,,,,
348,0.111655329,1464.257813,3520.678711,2056.420898,-103.8654887,-0.07832,N,F,,,,,,
348,0.103129252,1205.859375,4328.173828,3122.314453,-160.6274885,0.19238,N,F,,,,,,
348,0.046326531,1152.026367,3725.244141,2573.217773,11.25809963,-0.62986,N,F,,,,,,
348,0.086439909,1453.491211,3133.081055,1679.589844,-138.3638719,-0.30004,N,F,,,,,,
348,0.060929705,1259.692383,3423.779297,2164.086914,-76.9224798,-0.47617,N,F,,,,,,
348,0.093741497,1421.191406,3326.879883,1905.688477,-263.4109047,0.00309,N,F,,,,,,
348,0.061133787,1453.491211,4026.708984,2573.217773,-349.8200711,0.048,N,F,,,,,,
348,0.086712018,1012.060547,4349.707031,3337.646484,718.755558,-1.26159,N,F,,,,,,
348,0.081791383,1227.392578,3036.181641,1808.789063,560.2026508,-1.40175,N,F,,,,,,
348,0.047029478,979.7607422,3617.578125,2637.817383,-14.59760188,-0.56912,N,F,,,,,,
348,0.062834467,1248.925781,3391.479492,2142.553711,-153.2595513,-0.34701,N,F,,,,,,
