category,duration,change,direction
contact,0.41,2379.42,-917.6
contact,0.37,2777.78,-600.22
contact,0.35,2551.68,-523.82
contact,0.38,2637.82,-638.67
contact,0.32,2767.02,-551.74
contact,0.35,2174.85,-388.17
contact,0.37,2002.59,-624.59
pleasure,0.14,527.56,524.91
pleasure,0.14,689.06,352.36
pleasure,0.18,1356.59,477.48
pleasure,0.13,785.96,856.04
pleasure,0.12,376.83,838.85
pleasure,0.12,667.53,666.02
pleasure,0.15,764.43,392.89
pleasure,0.13,1076.66,844.07
pleasure,0.16,829.03,511.23
pleasure,0.14,1141.26,833.37
pleasure,0.15,829.03,800.38
pleasure,0.12,1173.56,885.16
pleasure,0.16,484.5,524.2
pleasure,0.15,1065.89,527.98
pleasure,0.13,1098.19,632.44
pleasure,0.13,958.23,605.27
pleasure,0.13,936.69,460.55
pleasure,0.11,796.73,873.58
pleasure,0.12,829.03,395.32
pleasure,0.11,1173.56,489.61
pleasure,0.16,925.93,736.25
pleasure,0.15,656.76,427.97
pleasure,0.13,1259.69,460.48
pleasure,0.12,484.5,775.46
contact,0.41,430.66,-548.58
contact,0.42,344.53,165.41
contact,0.44,2530.15,-219.21
contact,0.43,549.1,-654.66
contact,0.42,441.43,-619.7
contact,0.43,1496.56,-795.04
contact,0.34,2519.38,-543.49
contact,0.34,3100.78,-682.12
contact,0.31,3057.71,98.9
contact,0.31,2842.38,-487.93
contact,0.43,839.79,-547.85
contact,0.33,2562.45,-604.85
contact,0.3,2917.75,-257.05
contact,0.43,1507.32,-586.38
contact,0.41,1119.73,-244.08
contact,0.41,1302.76,-721.27
contact,0.4,2745.48,-368.86
contact,0.47,2444.02,-570.33
contact,0.44,2993.12,-197.15
contact,0.44,1959.52,-505.68
contact,0.37,1798.02,-420.94
contact,0.37,2347.12,-294.17
contact,0.33,2810.08,-387.6
contact,0.32,1991.82,-567.1
contact,0.41,1948.75,-740.38
contact,0.4,850.56,-628.89
contact,0.42,699.83,-667.08
contact,0.41,549.1,-660.08
contact,0.37,2390.19,-202.37
contact,0.43,570.63,-295.21
contact,0.38,570.63,-477.58
contact,0.4,559.86,-726.82
contact,0.38,538.33,-246.36
pleasure,0.11,1453.49,343.64
pleasure,0.13,1614.99,491.01
pleasure,0.13,1475.02,421.98
pleasure,0.11,1205.86,699.24
pleasure,0.1,1302.76,548.42
pleasure,0.12,753.66,782.54
pleasure,0.1,850.56,596.42
pleasure,0.11,1098.19,433.88
pleasure,0.14,1313.53,383.99
pleasure,0.12,1604.22,384.18
pleasure,0.09,1453.49,523.38
contact,0.28,3240.75,-213.8
contact,0.34,3316.11,-219.96
contact,0.31,3520.68,-396.96
contact,0.3,3391.48,170.07
contact,0.34,2917.75,-893.75
contact,0.27,3380.71,-206.1
contact,0.32,3337.65,-720.1
contact,0.31,2950.05,-667.74
contact,0.29,1378.13,-430.2
contact,0.28,1055.13,-638.27
contact,0.27,2670.12,-354.26
contact,0.23,3003.88,-365.66
contact,0.3,1291.99,-468.14
contact,0.3,1431.96,-395.01
contact,0.25,1733.42,-429.63
contact,0.31,2325.59,-481.99
contact,0.29,3369.95,-358.07
contact,0.41,3219.21,-133.5
contact,0.33,2810.08,-795.66
contact,0.32,2260.99,-936.49
contact,0.29,3305.35,-596.76
contact,0.36,3348.41,-560.75
contact,0.32,3208.45,-556.43
contact,0.32,3057.71,-435.11
contact,0.34,3337.65,-105.36
contact,0.3,2293.29,-472.7
contact,0.35,2960.82,-315.78
pleasure,0.14,1582.69,661.06
pleasure,0.15,1604.22,397.49
pleasure,0.15,1561.16,472.54
pleasure,0.16,775.2,867.98
pleasure,0.15,882.86,842.11
pleasure,0.12,1173.56,243.67
pleasure,0.17,1937.99,443.45
pleasure,0.17,1518.09,217.73
pleasure,0.16,2013.35,278.8
pleasure,0.2,1765.72,54.52
pleasure,0.13,1410.42,244
pleasure,0.19,1733.42,64.95
pleasure,0.18,1744.19,67.86
pleasure,0.17,1593.46,278.15
pleasure,0.09,1528.86,171.43
pleasure,0.15,1625.76,43.93
pleasure,0.13,1582.69,197.53
pleasure,0.14,1614.99,210.38
pleasure,0.14,1658.06,100.03
pleasure,0.14,1518.09,121.19
pleasure,0.13,1647.29,99.61
pleasure,0.18,1668.82,101.88
pleasure,0.14,1690.36,103.69
pleasure,0.16,1367.36,188.5
pleasure,0.15,1205.86,174.81
pleasure,0.12,1593.46,225.3
pleasure,0.15,1367.36,396.42
pleasure,0.15,1614.99,227.59
pleasure,0.15,1507.32,323.04
pleasure,0.16,1442.72,396.51
pleasure,0.15,1679.59,252.05
pleasure,0.16,1690.36,366.73
pleasure,0.21,2207.15,399
pleasure,0.17,1550.39,385.77
pleasure,0.17,1614.99,488.83
pleasure,0.16,2013.35,312.17
pleasure,0.13,1593.46,161.5
pleasure,0.14,1571.92,172.3
pleasure,0.12,1367.36,25.17
pleasure,0.14,1744.19,255.11
pleasure,0.14,1507.32,158.05
pleasure,0.15,1647.29,201.75
pleasure,0.15,1571.92,285.34
pleasure,0.2,1744.19,170.68
pleasure,0.14,1819.56,154.19
pleasure,0.16,1722.66,100.8
pleasure,0.14,1690.36,409.82
pleasure,0.16,1625.76,10.08
pleasure,0.14,1679.59,12.26
pleasure,0.17,1647.29,96.27
pleasure,0.15,1593.46,634.97
pleasure,0.17,2099.49,319.4
pleasure,0.13,1582.69,265.33
pleasure,0.14,1539.62,306.67
pleasure,0.14,1658.06,470.98
pleasure,0.16,1528.86,107.4
pleasure,0.14,1216.63,245.42
pleasure,0.17,1754.96,252.05
pleasure,0.17,1970.29,136.26
pleasure,0.13,1733.42,165.05
pleasure,0.14,1582.69,94.09
pleasure,0.12,1399.66,64.81
pleasure,0.13,1668.82,300.63
pleasure,0.18,1894.92,396.82
pleasure,0.17,1475.02,372.05
pleasure,0.13,1604.22,296.04
pleasure,0.1,1614.99,276.41
pleasure,0.15,1528.86,222.7
pleasure,0.11,1636.52,73.11
pleasure,0.1,1496.56,159.76
pleasure,0.13,1539.62,152.88
pleasure,0.13,1636.52,384.02
pleasure,0.15,1991.82,159.58
pleasure,0.17,1571.92,157.22
pleasure,0.14,1550.39,494.24
pleasure,0.17,1561.16,423.43
pleasure,0.15,1765.72,-67.23
pleasure,0.12,1464.26,310.88
pleasure,0.14,1539.62,344.8
pleasure,0.14,1571.92,221.76
pleasure,0.18,1291.99,217.73
pleasure,0.13,1518.09,252.94
pleasure,0.18,1948.75,151.3
pleasure,0.14,1550.39,222.2
pleasure,0.13,1711.89,264.4
pleasure,0.14,1625.76,338.96
pleasure,0.16,1528.86,153.57
pleasure,0.19,1636.52,185.7
pleasure,0.15,2034.89,200.33
pleasure,0.17,1593.46,325.41
pleasure,0.15,1431.96,94.17
pleasure,0.14,1507.32,198.33
pleasure,0.13,1270.46,200.29
pleasure,0.14,1819.56,92.07
pleasure,0.14,1216.63,150.38
pleasure,0.11,1528.86,308.1
contact,0.33,1798.02,-107.78
contact,0.39,1733.42,-303.25
contact,0.38,1754.96,-398.87
contact,0.37,1916.46,-45.51
contact,0.38,1862.62,-192.48
contact,0.35,1841.09,-161.38
contact,0.36,2013.35,-203.7
contact,0.33,1916.46,-280.58
contact,0.37,1744.19,-284.24
contact,0.33,2045.65,-240.19
contact,0.4,1658.06,-207.17
contact,0.37,1819.56,-255.37
contact,0.36,1819.56,-301.56
contact,0.4,1841.09,-200.05
contact,0.29,2002.59,-364.24
contact,0.39,1690.36,-78.67
contact,0.27,2077.95,-10.04
contact,0.33,1851.86,-166.41
contact,0.32,2131.79,-358.56
contact,0.29,2228.69,-191.61
contact,0.31,1937.99,16.66
contact,0.3,2196.39,-545.81
contact,0.29,1916.46,-402.88
contact,0.3,1884.16,-130.02
contact,0.32,1970.29,-335.45
contact,0.37,1841.09,87.02
contact,0.39,1970.29,379.3
contact,0.33,1808.79,-156.62
contact,0.33,1722.66,-136.96
contact,0.37,2002.59,-62.86
contact,0.31,1819.56,10.95
contact,0.32,1916.46,-124.54
contact,0.37,1798.02,50
contact,0.34,2164.09,-382.74
contact,0.32,1733.42,-126.52
contact,0.26,2045.65,98.05
contact,0.35,1862.62,-273.7
contact,0.34,1916.46,-142.75
contact,0.33,2045.65,-28.98
contact,0.37,1884.16,
contact,0.31,1625.76,-461.43
contact,0.35,1851.86,84.96
contact,0.33,1916.46,-297.41
contact,0.34,1582.69,-291.18
contact,0.32,2045.65,55.31
contact,0.34,1647.29,-92.76
contact,0.36,1787.26,54.84
contact,0.34,2077.95,-63.58
contact,0.36,1722.66,-175.38
contact,0.28,2164.09,-140.06
contact,0.26,1679.59,-172.79
contact,0.25,1571.92,-256.68
contact,0.27,1798.02,180.41
contact,0.22,1787.26,267
contact,0.25,1959.52,289.02
contact,0.33,1927.22,-172.91
contact,0.29,1798.02,57.97
pleasure,0.19,1571.92,-4.43
pleasure,0.19,2228.69,250.03
pleasure,0.15,1787.26,-72.01
pleasure,0.18,1571.92,73.07
pleasure,0.21,1464.26,208.96
pleasure,0.17,1550.39,154.16
pleasure,0.16,1335.06,288.92
pleasure,0.17,1808.79,85.5
pleasure,0.19,1571.92,215.78
pleasure,0.16,1550.39,141.24
pleasure,0.15,1614.99,491.51
pleasure,0.18,1679.59,266.08
pleasure,0.17,1485.79,-34.47
pleasure,0.19,1625.76,-12.35
pleasure,0.17,1808.79,208.47
pleasure,0.16,1539.62,241.02
contact,0.31,1765.72,-611.06
contact,0.32,1431.96,-607.61
contact,0.37,1873.39,-623.78
contact,0.38,1367.36,-341.15
contact,0.35,1464.26,-952.59
contact,0.36,1937.99,-312.45
contact,0.33,2067.19,-512.06
contact,0.38,1539.62,-119.95
contact,0.33,1970.29,-376.6
contact,0.33,1851.86,-50.45
contact,0.34,2045.65,-352.55
contact,0.33,1808.79,-363.31
contact,0.32,1948.75,-303.73
contact,0.37,1884.16,-90.61
contact,0.31,1970.29,-127.53
