N,category,duration,minimum,maximum,frequency_range,direction,centroid,mel,tonnetz,zerocross
826,C,0.342857143,3337.646484,4844.970703,1507.324219,-875.8921461,4106.531421,-295.47705,0.084986409,0.1875
827,C,0.364988662,2756.25,4435.839844,1679.589844,-433.2590904,3711.220387,-421.40274,-0.158987622,0.176757813
828,C,0.381315193,3305.34668,4823.4375,1518.09082,-1271.053304,4379.215578,-392.5639,0.124757255,0.198242188
829,C,0.431746032,2121.020508,4834.204102,2713.183594,-1132.981629,4205.160541,-418.0105,0.074721172,0.208007813
830,C,0.355555556,1970.288086,4844.970703,2874.682617,-861.1215431,3920.592279,-435.2424,0.03673829,0.195800781
831,C,0.368253968,1798.022461,4791.137695,2993.115234,-600.814513,3724.694878,-424.34726,0.107448571,0.19140625
832,C,0.380952381,1744.189453,4769.604492,3025.415039,-716.5158401,3831.363615,-447.51605,-0.044131383,0.203613281
833,C,0.375873016,1841.088867,4834.204102,2993.115234,-916.3425438,4077.211041,-356.3685,0.025398776,0.199707031
834,C,0.370793651,3133.081055,4328.173828,1195.092773,-927.533018,3936.291942,-217.50227,0.292300714,0.178222656
835,C,0.353015873,2024.121094,4812.670898,2788.549805,-834.558407,4039.560892,-374.39807,-0.012474481,0.206054688
836,C,0.365351474,2379.418945,4834.204102,2454.785156,-1238.341277,4284.826277,-428.7563,-0.149442286,0.208496094
837,C,0.368253968,2217.919922,4834.204102,2616.28418,-1141.40643,4215.295946,-407.61884,-0.117911356,0.206542969
838,C,0.358095238,1614.990234,4726.538086,3111.547852,-651.6037327,3631.911321,-399.54,-0.054031459,0.187988281
839,C,0.391111111,2454.785156,4834.204102,2379.418945,-1284.606657,4282.225713,-427.3226,-0.218880028,0.2109375
840,P,0.083446712,1431.958008,4037.475586,2605.517578,-169.0886452,2541.936419,-439.8349,0.026975175,0.095703125
841,P,0.119727891,1421.191406,4242.041016,2820.849609,-602.2508983,2984.233936,-426.48145,0.054347844,0.153808594
842,P,0.126984127,1313.525391,3919.042969,2605.517578,38.99535012,2484.584717,-396.94687,0.004457735,0.119140625
